endpoint_id,module,biological_construct,measurement_variable,observation_variable,species_variable,source_status_column,unit,lower_bound,upper_bound,circular_group,compositional_group,formula_id,image_requirement,min_head_dimension_px,analysis_tier,validation_status,category_free,interpretation,not_interpretable_as
capitulum_outline_aspect_ratio,shape,capitulum elongation,shape_aspect_ratio,shape_aspect_ratio_median,shape_aspect_ratio_species_median,n_usable_heads_shape,ratio,0,,,,pca_rotated_height_over_width,usable head outline,96,primary,frozen_technical,true,Height to width ratio of the PCA-aligned segmented outline,Absolute head dimensions or a category such as globose
capitulum_outline_circularity,shape,capitulum outline compactness,shape_circularity,shape_circularity_median,shape_circularity_species_median,n_usable_heads_shape,unitless,0,1,,,four_pi_area_over_perimeter_squared,usable head outline,96,primary,frozen_technical,true,Four pi times contour area divided by squared perimeter,Three-dimensional sphericity
capitulum_outline_solidity,shape,capitulum outline concavity,shape_solidity,shape_solidity_median,shape_solidity_species_median,n_usable_heads_shape,unitless,0,1,,,contour_area_over_convex_hull_area,usable head outline,96,primary,frozen_technical,true,Contour area divided by convex-hull area,Bract number or armature identity
capitulum_width_profile_cv,shape,longitudinal width-profile variation,shape_width_cv,shape_width_cv_median,shape_width_cv_species_median,n_usable_heads_shape,unitless,0,,,,row_width_sd_over_mean,usable side or oblique outline,96,primary,frozen_technical,true,Coefficient of variation of normalized widths along the PCA-aligned outline,A botanical outline category independent of viewpoint
involucre_length_width_ratio,involucre_architecture,involucre elongation,involucre_length_width_ratio,involucre_length_width_ratio_observation_median,involucre_length_width_ratio_species_median,n_usable_heads_involucre_length_width_ratio,ratio,0,,,,involucre_axis_extent_over_transverse_extent,high-resolution side or oblique head,150,candidate,requires_botanical_calibration,true,Longitudinal extent divided by transverse extent of the recovered involucre region,Absolute involucre size
involucre_apical_taper_ratio,involucre_architecture,apical involucre taper,involucre_apical_taper_ratio,involucre_apical_taper_ratio_observation_median,involucre_apical_taper_ratio_species_median,n_usable_heads_involucre_apical_taper_ratio,ratio,0,,,,apical_width_over_middle_width,high-resolution side or oblique head,150,candidate,requires_botanical_calibration,true,Apical band width divided by middle involucre width,Urceolate category without viewpoint calibration
involucre_basal_taper_ratio,involucre_architecture,basal involucre taper,involucre_basal_taper_ratio,involucre_basal_taper_ratio_observation_median,involucre_basal_taper_ratio_species_median,n_usable_heads_involucre_basal_taper_ratio,ratio,0,,,,basal_width_over_middle_width,high-resolution side or oblique head,150,candidate,requires_botanical_calibration,true,Basal band width divided by middle involucre width,A botanical base-shape category independent of viewpoint
bract_projection_roughness,involucre_architecture,radial bract projection variability,involucre_projection_roughness,involucre_projection_roughness_observation_median,involucre_projection_roughness_species_median,n_usable_heads_involucre_projection_roughness,relative,0,,,,radial_residual_sd_over_equivalent_radius,high-resolution involucre contour,150,candidate,requires_botanical_calibration,true,Standard deviation of radial contour residuals normalized by equivalent radius,Mean phyllary angle or spine length
bract_projection_p95,involucre_architecture,upper-tail bract projection,involucre_projection_p95,involucre_projection_p95_observation_median,involucre_projection_p95_species_median,n_usable_heads_involucre_projection_p95,relative,0,,,,positive_radial_residual_p95_over_radius,high-resolution involucre contour,150,candidate,requires_botanical_calibration,true,Ninety-fifth percentile positive contour projection normalized by equivalent radius,Maximum botanical spine length
bract_projection_maximum,armature,maximum bract or spine-like projection,involucre_projection_max,involucre_projection_max_observation_median,involucre_projection_max_species_median,n_usable_heads_involucre_projection_max,relative,0,,,,positive_radial_residual_max_over_radius,high-resolution involucre contour,150,candidate,requires_botanical_calibration,true,Maximum positive contour projection normalized by equivalent radius,A uniquely identified spine or free phyllary-tip length
bract_spread_fraction,involucre_architecture,frequency of outward contour projections,involucre_spread_fraction,involucre_spread_fraction_observation_median,involucre_spread_fraction_species_median,n_usable_heads_involucre_spread_fraction,fraction,0,1,,,radial_bins_above_four_percent_radius,high-resolution involucre contour,150,candidate,requires_botanical_calibration,true,Fraction of radial bins with positive residual above four percent of equivalent radius,Fraction of botanically spreading or recurved phyllaries
bract_projection_peak_density,armature,density of discrete contour projections,bract_projection_peak_density,bract_projection_peak_density_observation_median,bract_projection_peak_density_species_median,n_usable_heads_bract_projection_peak_density,peaks per valid bin,0,1,,,significant_local_peaks_over_valid_radial_bins,high-resolution involucre contour,150,candidate,requires_botanical_calibration,true,Local radial-profile peak count divided by visible valid bins,Total phyllary or spine count
bract_projection_asymmetry,involucre_architecture,bilateral projection asymmetry,bract_projection_asymmetry,bract_projection_asymmetry_observation_median,bract_projection_asymmetry_species_median,n_usable_heads_bract_projection_asymmetry,relative,0,1,,,left_right_positive_residual_difference_over_radius,high-resolution side or oblique head,150,candidate,requires_botanical_calibration,true,Absolute left-right difference in positive projection normalized by radius,Developmental asymmetry without pose control
involucre_surface_edge_density,indumentum,visible surface linear-feature density,involucre_surface_edge_density,involucre_surface_edge_density_observation_median,involucre_surface_edge_density_species_median,n_usable_heads_involucre_surface_edge_density,fraction,0,1,,,canny_edges_over_eroded_involucre_area,macro involucre surface with usable focus,300,validation_only,requires_botanical_calibration,true,Canny-edge density inside the eroded involucre surface mask,Hair density or gland density without reference annotation
involucre_surface_lbp_entropy,indumentum,visible involucre texture complexity,involucre_surface_lbp_entropy,involucre_surface_lbp_entropy_observation_median,involucre_surface_lbp_entropy_species_median,n_usable_heads_involucre_surface_lbp_entropy,normalized entropy,0,1,,,normalized_eight_neighbor_lbp_entropy,macro involucre surface with usable focus,300,validation_only,requires_botanical_calibration,true,Normalized local-binary-pattern entropy within the involucre surface,Specific webby tomentose or glandular indumentum state
involucre_surface_high_frequency_energy,indumentum,visible involucre fine-texture energy,involucre_surface_high_frequency_energy,involucre_surface_high_frequency_energy_observation_median,involucre_surface_high_frequency_energy_species_median,n_usable_heads_involucre_surface_high_frequency_energy,relative,0,,,,median_abs_laplacian_over_intensity_iqr,macro involucre surface with usable focus,300,validation_only,requires_botanical_calibration,true,Median absolute Laplacian normalized by intensity interquartile range,Hair abundance independent of lighting and focus
involucre_surface_specular_fraction,exudate,visible specular surface signal,involucre_surface_specular_fraction_proxy,involucre_surface_specular_fraction_proxy_observation_median,involucre_surface_specular_fraction_proxy_species_median,n_usable_heads_involucre_surface_specular_fraction_proxy,fraction,0,1,,,low_saturation_high_value_pixels_over_surface,macro involucre surface with usable exposure,300,validation_only,requires_botanical_calibration,true,Fraction of low-saturation high-value pixels on the involucre surface,Mucilage presence stickiness or secretion amount without targeted validation
